university_id,year,num_students,student_staff_ratio,pct_international_students,pct_female_students,country_name,university_name,ranking_criteria_id,ranking_system_id,ranking_system_name,score,ranking_criteria_name,Country_id
36,2016,26518,7.3,8,58,United States of America,University of North Carolina at Chapel Hill,1,1,Times Higher Education World University Ranking,100,Teaching,73
62,2016,24789,8.6,17,58,United States of America,Boston University,1,1,Times Higher Education World University Ranking,100,Teaching,73
85,2016,21222,17.1,10,59,Netherlands,Leiden University,14,3,Center for World University Rankings,84,Research,44
44,2016,36534,12.9,20,52,United States of America,University of Southern California,1,1,Times Higher Education World University Ranking,100,Teaching,73
98,2016,17906,14,25,53,United Kingdom,University of Bristol,14,3,Center for World University Rankings,84,Research,72
265,2016,15489,15.7,24,54,United Kingdom,Durham University,14,3,Center for World University Rankings,84,Research,72
121,2016,20580,18.9,18,48,Netherlands,Erasmus University Rotterdam,14,3,Center for World University Rankings,84,Research,44
161,2016,33062,39.3,20,58,Germany,Free University of Berlin,14,3,Center for World University Rankings,84,Research,21
171,2016,50882,40.5,36,56,Australia,Monash University,14,3,Center for World University Rankings,84,Research,2
133,2016,24556,25.6,12,52,Netherlands,University of Groningen,14,3,Center for World University Rankings,84,Research,44
1046,2016,44501,12.4,12,46,United States of America,Pennsylvania State University,21,3,Center for World University Rankings,82,Research,73
162,2016,28327,38.9,12,58,Germany,University of Tübingen,14,3,Center for World University Rankings,84,Research,21
1036,2016,26485,5.8,10,51,United States of America,University of Pittsburgh,21,3,Center for World University Rankings,82,Research,73
325,2016,18529,16.6,37,48,United Kingdom,University of Warwick,14,3,Center for World University Rankings,84,Research,72
131,2016,25266,18.2,12,57,Sweden,Uppsala University,14,3,Center for World University Rankings,84,Research,64
1049,2016,26467,31.2,16,52,Germany,University of Freiburg,21,3,Center for World University Rankings,82,Research,21
75,2016,26389,13.9,10,52,South Korea,Seoul National University,14,3,Center for World University Rankings,84,Research,62
324,2016,8338,12.7,47,56,United Kingdom,University of St Andrews,14,3,Center for World University Rankings,84,Research,72
59,2016,12161,3.6,10,52,United States of America,Vanderbilt University,1,1,Times Higher Education World University Ranking,100,Teaching,73
358,2016,17755,18.8,28,54,United Kingdom,University of Exeter,14,3,Center for World University Rankings,84,Research,72
179,2016,23311,15.5,31,50,United Kingdom,University of Sheffield,14,3,Center for World University Rankings,84,Research,72
215,2016,14260,14,40,52,United Kingdom,Queen Mary University of London,14,3,Center for World University Rankings,84,Research,72
112,2016,11829,13.8,10,44,United States of America,University of Notre Dame,14,3,Center for World University Rankings,84,Research,73
226,2016,20851,20.7,27,50,Australia,University of Western Australia,14,3,Center for World University Rankings,84,Research,2
384,2016,462,16.5,5,28,Italy,Scuola Normale Superiore di Pisa,14,3,Center for World University Rankings,84,Research,32
187,2016,3055,10.1,4,20,South Korea,Pohang University of Science and Technology,14,3,Center for World University Rankings,84,Research,62
68,2016,31331,8.4,9,48,United States of America,"University of Maryland, College Park",1,1,Times Higher Education World University Ranking,100,Teaching,73
141,2016,32166,34.1,9,57,Belgium,Ghent University,14,3,Center for World University Rankings,84,Research,6
146,2016,25295,16.4,23,54,United Kingdom,University of Birmingham,14,3,Center for World University Rankings,84,Research,72
542,2016,8747,15.9,37,57,United Kingdom,"Royal Holloway, University of London",21,3,Center for World University Rankings,82,Research,72
450,2016,11512,14.9,33,52,United Kingdom,Lancaster University,19,3,Center for World University Rankings,82,Research,72
91,2016,27139,18.8,18,52,Norway,University of Oslo,14,3,Center for World University Rankings,84,Research,47
188,2016,31715,23.7,8,62,Sweden,Stockholm University,14,3,Center for World University Rankings,84,Research,64
108,2016,36299,21.6,23,55,Canada,University of Alberta,14,3,Center for World University Rankings,84,Research,9
191,2016,12001,17.4,35,54,United Kingdom,University of Sussex,14,3,Center for World University Rankings,84,Research,72
1034,2016,56959,13,11,49,United States of America,University of Massachusetts,21,3,Center for World University Rankings,82,Research,73
206,2016,34651,20.5,25,67,Austria,University of Vienna,14,3,Center for World University Rankings,84,Research,3
97,2016,30144,15,27,54,United Kingdom,University of Nottingham,14,3,Center for World University Rankings,84,Research,72
255,2016,30538,12.3,10,59,Spain,Autonomous University of Barcelona,14,3,Center for World University Rankings,84,Research,63
84,2016,23845,10.2,12,52,United States of America,University of Virginia,14,3,Center for World University Rankings,84,Research,73
134,2016,9027,10,9,20,South Korea,Korea Advanced Institute of Science and Technology (KAIST),14,3,Center for World University Rankings,84,Research,62
1080,2016,24365,20.3,9,39,South Korea,Sungkyunkwan University (SKKU),21,3,Center for World University Rankings,82,Research,62
148,2016,23280,16.3,6,56,Netherlands,VU University Amsterdam,14,3,Center for World University Rankings,84,Research,44
1055,2016,12062,14.6,21,30,Sweden,KTH Royal Institute of Technology,21,3,Center for World University Rankings,82,Research,64
200,2016,43280,43.4,11,60,Germany,University of Cologne,14,3,Center for World University Rankings,84,Research,21
212,2016,18815,13.6,30,52,United Kingdom,University of Liverpool,14,3,Center for World University Rankings,84,Research,72
1039,2016,15521,18,25,57,Ireland,Trinity College Dublin,21,3,Center for World University Rankings,82,Research,30
50,2016,36429,12.7,8,52,United States of America,University of Arizona,1,1,Times Higher Education World University Ranking,100,Teaching,73
128,2016,47491,12.2,10,62,Spain,University of Barcelona,14,3,Center for World University Rankings,84,Research,63
469,2016,10930,59.1,12,54,Germany,University of Konstanz,19,3,Center for World University Rankings,82,Research,21
22,2016,17612,10.7,5,55,Israel,Hebrew University of Jerusalem,1,1,Times Higher Education World University Ranking,100,Teaching,31
281,2016,30726,24.2,14,45,Canada,University of Waterloo,14,3,Center for World University Rankings,84,Research,9
1087,2016,27603,15,17,45,France,Paris-Sud University,21,3,Center for World University Rankings,82,Research,20
80,2016,83236,29.9,9,50,United States of America,Arizona State University,14,3,Center for World University Rankings,84,Research,73
1061,2016,9187,11.2,10,47,Germany,Ulm University,21,3,Center for World University Rankings,82,Research,21
1107,2016,6853,6.6,16,64,Germany,Charité - Universitätsmedizin Berlin,21,3,Center for World University Rankings,82,Research,21
598,2016,16841,43.2,8,51,Italy,University of Trento,21,3,Center for World University Rankings,82,Research,32
1058,2016,27756,14.8,17,63,France,Paris Diderot University – Paris 7,21,3,Center for World University Rankings,82,Research,20
1071,2016,17940,17.9,30,54,United Kingdom,Queen’s University Belfast,21,3,Center for World University Rankings,82,Research,72
