university_id,year,num_students,student_staff_ratio,pct_international_students,pct_female_students,country_name,university_name,ranking_criteria_id,ranking_system_id,ranking_system_name,score,ranking_criteria_name,Country_id
427,2011,10901,18.3,13,59,Spain,Pompeu Fabra University,19,3,Center for World University Rankings,82,Research,63
1052,2011,62468,13.6,13,53,United States of America,Indiana University,21,3,Center for World University Rankings,82,Research,73
183,2011,29991,17.4,11,44,United States of America,Iowa State University,14,3,Center for World University Rankings,84,Research,73
121,2011,20580,18.9,18,48,Netherlands,Erasmus University Rotterdam,14,3,Center for World University Rankings,84,Research,44
248,2011,19262,15.9,10,56,United States of America,University of Delaware,14,3,Center for World University Rankings,84,Research,73
80,2011,83236,29.9,9,50,United States of America,Arizona State University,14,3,Center for World University Rankings,84,Research,73
333,2011,13216,17.4,19,54,United States of America,Boston College,14,3,Center for World University Rankings,84,Research,73
792,2011,9336,19.6,4,37,Taiwan,National Sun Yat-sen University,21,3,Center for World University Rankings,82,Research,66
126,2011,15408,8.5,14,53,United States of America,Georgetown University,14,3,Center for World University Rankings,84,Research,73
130,2011,24570,14.4,11,53,Netherlands,University of Amsterdam,14,3,Center for World University Rankings,84,Research,44
212,2011,18815,13.6,30,52,United Kingdom,University of Liverpool,14,3,Center for World University Rankings,84,Research,72
127,2011,23895,13.6,14,54,Denmark,Aarhus University,14,3,Center for World University Rankings,84,Research,16
154,2011,27703,14.7,21,58,United Kingdom,University of Leeds,14,3,Center for World University Rankings,84,Research,72
1054,2011,26576,38.4,8,57,Germany,University of Würzburg,21,3,Center for World University Rankings,82,Research,21
133,2011,24556,25.6,12,52,Netherlands,University of Groningen,14,3,Center for World University Rankings,84,Research,44
293,2011,51351,16.6,8,51,China,Sun Yat-sen University,14,3,Center for World University Rankings,84,Research,11
163,2011,31861,9.3,15,60,Germany,Goethe University Frankfurt,14,3,Center for World University Rankings,84,Research,21
151,2011,25028,16.2,33,48,Singapore,Nanyang Technological University,14,3,Center for World University Rankings,84,Research,58
351,2011,14992,14.7,28,58,United Kingdom,University of East Anglia,14,3,Center for World University Rankings,84,Research,72
97,2011,30144,15,27,54,United Kingdom,University of Nottingham,14,3,Center for World University Rankings,84,Research,72
93,2011,27545,4.1,19,67,Denmark,University of Copenhagen,14,3,Center for World University Rankings,84,Research,16
160,2011,29987,52.5,16,67,Germany,Humboldt University of Berlin,14,3,Center for World University Rankings,84,Research,21
171,2011,50882,40.5,36,56,Australia,Monash University,14,3,Center for World University Rankings,84,Research,2
